일시,급속/완속,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2020-01-19,급속,1025312,2048,6272,645248,64800,663552,8192,913952,946688,103968,107648,1131008,1155200,1216800,1216800,1254528,1424672,1479200,1568,215168,3872,394272,438048
2020-01-19,완속,107632,3388,7168,74263,80143,80143,84700,86247,9583,107632,112,1575,1575,175,18207,229327,23548,26047,2800,40432,55447,56700,56700
2020-02-19,급속,1002528,21632,4608,549152,591872,739328,8192,850208,96800,10368,1036800,1048352,119072,1438208,1451808,1548800,1797408,1905152,199712,26912,346112,3872,438048
2020-02-19,완속,102487,252,67228,700,71407,7168,74263,75712,90972,105903,112,11200,1183,1372,1575,19663,21952,224287,24367,31423,44800,55447,59248
2020-03-19,급속,1059968,484128,672800,710432,850208,903168,924800,935712,96800,11552,11552,1216800,1267232,1292832,143648,15488,204800,41472,4608,524288,618272,6272,645248
2020-03-19,완속,112903,343,56700,59248,61852,78652,81648,81648,89383,11767,1183,1183,137200,159607,175,2527,2800,29575,343,39375,39375,49392,5103
2020-04-19,급속,1025312,3200,557568,609408,6272,798848,83232,913952,9248,1048352,1048352,1059968,1167392,1229312,1241888,12800,1280000,139392,180000,401408,43808,445568,4608
2020-04-19,완속,10108,175,28672,29575,448,448,57967,78652,92575,109375,112,112903,112903,11767,1183,120127,1575,170352,174748,22743,25200,26908,2800
2020-05-19,급속,1119008,3872,6272,73728,850208,860672,892448,935712,980000,1179648,1204352,143648,1465472,1534752,165888,18432,253472,332928,339488,453152,4608,46208,574592
2020-05-19,완속,116487,163863,4732,5103,64512,700,847,847,95823,1183,120127,127575,12943,129472,135247,13552,137200,151263,1575,23548,33327,35287,47068
2020-06-19,급속,103968,20000,4608,583200,600608,61952,654368,839808,924800,1048352,11552,1155200,1204352,1229312,1506848,1548800,1577088,1620000,189728,23328,276768,320000,453152
2020-06-19,완속,10108,2023,40432,43687,48223,8092,84700,89383,99127,10647,10647,1183,12348,129472,13552,14175,147175,1792,18928,24367,28672,3388,40432
2020-07-19,급속,1002528,236672,415872,7200,720000,871200,924800,93312,946688,107648,1083392,1095200,1167392,1241888,1267232,1280000,1438208,1548800,16928,307328,32768,3872,39200
2020-07-19,완속,1008,252,29575,29575,297052,5488,567,63175,84700,1183,120127,125692,15463,155407,157500,157500,2023,21952,221788,25200,27783,2800,29575
2020-08-19,급속,1002528,161312,236672,25088,294912,41472,500000,557568,860672,1002528,10368,1048352,1083392,1254528,1267232,1280000,1451808,1465472,1591328,1767200,20000,209952,21632
