일자,충전방식,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2023-01-01,완속,1064,980,560,336,210,161,196,406,861,1505,1526,1778,1883,1904,2002,2128,2814,2982,2877,2702,2618,1960,1631,1603
2023-01-01,급속,5440,5080,4240,3600,4840,5360,5800,8800,15160,19840,22560,25120,26280,26720,26120,28040,26000,24320,21280,17600,15440,12000,8400,6360
2023-01-02,완속,581,574,329,154,126,112,280,567,1120,868,1078,1379,1449,1358,1477,2002,2863,3689,4102,3493,2702,2597,2310,2310
2023-01-02,급속,4360,3200,2120,2480,3320,4800,8280,12240,19960,24760,26920,28600,34880,31160,30080,33320,32520,31000,25600,24200,19760,14960,10480,6680
2023-01-03,완속,854,420,294,287,133,182,252,525,1134,952,1015,1176,1225,1253,1722,1981,3073,3829,4228,3696,2933,2555,2324,2296
2023-01-03,급속,4560,4320,4200,3440,4040,4720,8280,12920,19520,23360,26920,30800,34680,32600,32680,33880,32840,30920,28000,23520,19760,15960,13000,9280
2023-01-04,완속,896,567,539,154,154,161,350,490,980,1043,1204,1358,1379,1428,1603,2037,3045,3451,3990,3738,2989,2639,2590,2198
2023-01-04,급속,5480,5240,4200,4200,4480,5360,8960,13760,20480,25680,27160,31280,33560,30400,31720,30960,33240,31200,27760,23160,19080,17120,12640,7720
2023-01-05,완속,854,434,427,210,154,231,357,616,931,1120,1267,1323,1309,1540,1344,2149,2772,3444,3899,3661,2863,2611,2422,2380
2023-01-05,급속,5640,5200,4040,3880,4480,4960,8960,13520,19800,25400,27040,31280,34840,33440,34440,32720,33560,30120,26280,25160,20200,15520,12080,9000
2023-01-06,완속,847,490,490,217,224,252,287,560,1057,1155,1183,1218,1274,1708,1778,1883,2660,3563,3843,3500,2814,2443,2464,2429
2023-01-06,급속,5320,4800,3480,3400,3920,6160,9800,13320,21240,25800,28840,34480,34880,33640,33560,36680,32520,30920,27760,22560,18080,15600,12440,8360
2023-01-07,완속,847,672,406,266,259,210,329,602,770,1176,1246,1421,1680,1617,1652,1918,2128,2758,2625,2562,2443,2079,1890,1855
2023-01-07,급속,5800,4480,3720,3640,4520,5840,7120,11400,16720,20040,23000,25800,28160,26760,28160,26680,25800,24320,20040,17520,16200,11720,9360,6280
2023-01-08,완속,798,567,504,252,336,217,224,315,847,1134,1351,1393,1561,1988,1883,2380,2625,2996,2947,2632,2520,2023,1624,1554
2023-01-08,급속,4000,3600,3480,3720,4120,4320,5560,8720,14200,16760,21080,22560,24640,23040,26080,27120,25440,23120,19560,16280,14160,10800,8160,6320
