iter	MAE
0	824165.9994
1	797978.2487
2	775759.9658
3	752192.1536
4	729581.2178
5	708367.8414
6	686792.4766
7	667083.5011
8	646909.4807
9	626596.2069
10	608410.0887
11	589943.1133
12	572670.6182
13	554761.4049
14	537074.8231
15	520377.2898
16	504387.9944
17	489502.4535
18	476161.5662
19	462551.4119
20	448105.0553
21	436098.6451
22	422440.1771
23	409613.4334
24	397705.1371
25	386106.0235
26	374710.7697
27	364189.6013
28	354195.4997
29	344296.3617
30	334615.7146
31	326096.5965
32	317839.7831
33	308857.4594
34	300708.4415
35	292991.3906
36	285608.0511
37	277806.7042
38	270017.7282
39	262689.8096
40	255252.3618
41	248031.9513
42	241337.1574
43	234810.8345
44	228105.8146
45	222327.0154
46	216315.9126
47	210520.1546
48	204752.3111
49	199525.2434
50	194133.2212
51	188859.6086
52	183930.444
53	178941.6201
54	174073.0671
55	169595.4544
56	165135.8992
57	160775.545
58	156847.6401
59	152933.6084
60	149410.9278
61	145922.1787
62	142773.4162
63	139547.5922
64	136520.8109
65	133621.7563
66	130561.3603
67	127837.2747
68	125062.2952
69	122259.1359
70	119846.4725
71	117355.7472
