iter	Passed	Remaining
0	1	114
1	2	101
2	4	101
3	5	96
4	6	93
5	8	91
6	9	84
7	10	83
8	11	82
9	12	76
10	13	75
11	14	74
12	16	73
13	17	70
14	18	69
15	19	68
16	20	66
17	21	65
18	23	64
19	24	63
20	25	62
21	27	61
22	28	60
23	29	59
24	30	57
25	31	56
26	33	55
27	34	53
28	34	51
29	36	50
30	37	49
31	38	47
32	39	46
33	40	45
34	41	43
35	42	42
36	43	41
37	44	40
38	45	38
39	47	37
40	48	36
41	49	35
42	50	34
43	51	32
44	52	31
45	53	30
46	55	29
47	56	28
48	57	26
49	58	25
50	59	24
51	60	23
52	61	22
53	62	20
54	63	19
55	65	18
56	66	17
57	67	16
58	68	15
59	69	13
60	70	12
61	72	11
62	73	10
63	74	9
64	75	8
65	76	6
66	77	5
67	78	4
68	79	3
69	81	2
70	82	1
71	83	0
